id,name,pad_type,latitude,longitude,retired,location_id,changed,url,wiki_url
1,"Launch Area 5B, Woomera",0,-30.971993000000000,136.475005000000000,1,20,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Woomera_Launch_Area_5
2,"Launch Area 6A, Woomera",0,-31.074000000000000,136.439400000000000,1,20,2017-02-21 00:00:00,,
3,"Launch Area 6B, Woomera",0,-31.079200000000000,136.445000000000000,1,20,2017-02-21 00:00:00,,
4,"Launch Area 8, Woomera",0,-31.034000000000000,136.463000000000000,1,20,2017-02-21 00:00:00,,
5,"Launch Area 2A, Jiuquan",0,41.306000000000000,100.314000000000000,1,1,2017-02-21 00:00:00,,
6,"Launch Area 2B, Jiuquan",0,41.309000000000000,100.317000000000000,1,1,2017-02-21 00:00:00,,
7,"Launch Area 4 (SLS-2 / 603), Jiuquan",0,40.960556000000000,100.298333000000000,0,1,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Jiuquan_Launch_Area_4
8,"Launch Area 4 (SLS-1 / 921), Jiuquan",0,40.958093000000000,100.291188000000000,0,1,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Jiuquan_Launch_Area_4
11,"Launch Area 3 (Launch Area 2 Rebuilt 2006), Jiuquan",0,28.247183000000000,102.029268000000000,1,1,2017-02-21 00:00:00,,
12,"Launch Area 4?, Jiuquan",0,28.249500000000000,102.023200000000000,0,1,2017-02-21 00:00:00,,
13,"Launch Complex 9, Taiyuan",0,38.849000000000000,111.608000000000000,0,2,2017-02-21 00:00:00,,
14,"Launch Complex 7, Taiyuan",0,38.863428000000000,111.589004000000000,0,2,2017-02-21 00:00:00,,
17,"Ariane Launch Area, Kourou",0,5.207642000000000,-52.772384000000000,0,3,2017-02-21 00:00:00,http://www.esa.int/Our_Activities/Launchers/Europe_s_Spaceport/Europe_s_Spaceport2,https://en.wikipedia.org/wiki/Guiana_Space_Centre
18,"Ariane Launch Area 1, Kourou",0,5.236000000000000,-52.775000000000000,0,3,2017-02-21 00:00:00,http://www.esa.int/Our_Activities/Launchers/Europe_s_Spaceport/Europe_s_Spaceport2,https://en.wikipedia.org/wiki/ELA-1
19,"Brigitte Pad, Hammaguir",0,30.871000000000000,-3.008000000000000,0,4,2017-02-21 00:00:00,,
22,"Safir Pad, Iran",0,35.234000000000000,53.921000000000000,0,6,2017-02-21 00:00:00,,
23,"Unknown New Larger Pad, Iran",0,35.238000000000000,53.951000000000000,0,6,2017-02-21 00:00:00,,
24,"San Marco Platform, Kenya",0,-2.942000000000000,40.206000000000000,1,7,2017-02-21 00:00:00,,
25,"M5 Pad, Kagoshima",0,31.251000000000000,131.082000000000000,1,8,2017-02-21 00:00:00,,
26,"Mu Pad, Kagoshima",0,31.252000000000000,131.079000000000000,1,8,2017-02-21 00:00:00,,
27,"Osaki Y LP1, Tanegashima, Japan",0,30.401000000000000,130.977000000000000,0,9,2017-02-21 00:00:00,,
28,"Osaki Y LP2, Tanegashima, Japan",0,30.401000000000000,130.975000000000000,0,9,2017-02-21 00:00:00,,
29,"1/5, Baikonur Cosmodrome, Kazakhstan",0,45.920000000000000,63.342000000000000,0,10,2017-02-21 00:00:00,,
30,"31/6, Baikonur Cosmodrome, Kazakhstan",0,45.996034000000000,63.564003000000000,0,10,2017-02-21 00:00:00,,
31,"41/15, Baikonur Cosmodrome, Kazakhstan",0,45.976001000000000,63.669000000000000,0,10,2017-02-21 00:00:00,,
32,"45/1, Baikonur Cosmodrome, Kazakhstan",0,45.943492000000000,63.653014000000000,0,10,2017-02-21 00:00:00,,
33,"45/2, Baikonur Cosmodrome, Kazakhstan",0,45.939997000000000,63.654999000000000,0,10,2017-02-21 00:00:00,,
34,"81/23 (81L), Baikonur Cosmodrome, Kazakhstan",0,46.073997000000000,62.977999000000000,0,10,2017-02-21 00:00:00,,
35,"81/24 (81P), Baikonur Cosmodrome, Kazakhstan",0,46.071001000000000,62.984999000000000,0,10,2017-02-21 00:00:00,,
36,"90/19 (90L), Baikonur Cosmodrome, Kazakhstan",0,46.081302000000000,62.932299000000000,0,10,2017-02-21 00:00:00,,
37,"90/20 (90R), Baikonur Cosmodrome, Kazakhstan",0,46.079769000000000,62.935491000000000,1,10,2017-02-21 00:00:00,,
38,"109/95, Baikonur Cosmodrome, Kazakhstan",0,45.951120000000000,63.497095000000000,0,10,2017-02-21 00:00:00,,
39,"110/37 (110L), Baikonur Cosmodrome, Kazakhstan",0,45.964747000000000,63.304744000000000,0,10,2017-02-21 00:00:00,,
40,"110/38 (110R), Baikonur Cosmodrome, Kazakhstan",0,45.962121000000000,63.310212000000000,0,10,2017-02-21 00:00:00,,
41,"175/59, Baikonur Cosmodrome, Kazakhstan",0,46.052000000000000,62.986000000000000,0,10,2017-02-21 00:00:00,,
42,"200/39 (200L), Baikonur Cosmodrome, Kazakhstan",0,46.039984000000000,63.032093000000000,0,10,2017-02-21 00:00:00,,
43,"200/40 (200R), Baikonur Cosmodrome, Kazakhstan",0,46.036416000000000,63.037908000000000,0,10,2017-02-21 00:00:00,,
44,"250, Baikonur Cosmodrome, Kazakhstan",0,46.008446000000000,63.304702000000000,0,10,2017-02-21 00:00:00,,
45,"16/2, Plesetsk Cosmodrome, Russia",0,62.960091000000000,40.682983000000000,0,11,2017-02-21 00:00:00,,
46,"32/1 (32L), Plesetsk Cosmodrome, Russia",0,62.907416000000000,40.787010000000000,0,11,2017-02-21 00:00:00,,
47,"32/2 (32R), Plesetsk Cosmodrome, Russia",0,62.905799000000000,40.789392000000000,0,11,2017-02-21 00:00:00,,
48,"35, Plesetsk Cosmodrome, Russia",0,62.927800000000000,40.575200000000000,0,11,2017-02-21 00:00:00,,
49,"41/1, Plesetsk Cosmodrome, Russia",0,62.940524000000000,40.528537000000000,0,11,2017-02-21 00:00:00,,
50,"43/3 (43L), Plesetsk Cosmodrome, Russia",0,62.927300000000000,40.450000000000000,0,11,2017-02-21 00:00:00,,
